time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/08/05/10:48:58.710045,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:58.819463,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:58.928626,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.041320,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.154620,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.262219,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.371050,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.488441,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.599191,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.713692,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.824993,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:48:59.933255,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.045696,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.157305,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.282336,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.393317,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.501438,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.609600,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.720666,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.831821,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:00.944105,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.058624,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.169221,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.280015,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.396384,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.508208,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.620480,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.732848,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.853878,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:01.972556,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.080341,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.190263,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.302045,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.416070,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.530985,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.645408,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.757422,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.877158,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:02.992103,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:03.111718,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:03.220145,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:03.345175,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:03.475333,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:03.590083,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/10:49:03.701331,1,0,1,3,0,0,0,0,3,0,120,6,1,0,7,3,0,7,0,0,137,0
2022/08/05/10:49:03.817110,1,0,1,3,0,0,0,0,3,0,120,9,2,0,9,2,0,8,2,0,137,0
2022/08/05/10:49:03.925965,1,0,1,3,0,0,0,0,3,0,120,11,2,0,12,2,0,11,2,0,137,0
2022/08/05/10:49:04.033478,1,0,1,3,0,0,0,0,3,0,120,14,2,0,15,2,0,14,2,0,137,0
2022/08/05/10:49:04.145030,1,0,1,3,0,0,0,0,3,0,120,17,2,0,17,2,0,17,2,0,137,0
2022/08/05/10:49:04.257486,1,0,1,3,0,0,0,0,3,0,120,20,2,0,20,2,0,20,2,0,137,0
2022/08/05/10:49:04.372881,1,0,1,3,0,0,0,0,3,0,120,23,2,0,23,2,0,23,2,0,137,0
2022/08/05/10:49:04.494602,1,0,1,3,0,0,0,0,3,0,120,26,2,0,26,2,0,26,2,0,137,0
2022/08/05/10:49:04.616115,1,0,1,3,0,0,0,0,3,0,120,29,2,0,29,2,0,29,2,0,137,0
2022/08/05/10:49:04.730530,1,0,1,3,0,0,0,0,3,0,120,32,2,0,32,2,0,32,2,0,137,0
2022/08/05/10:49:04.841812,1,0,1,3,0,0,0,0,3,0,120,35,2,0,34,2,0,34,2,0,137,0
2022/08/05/10:49:04.956575,1,0,1,3,0,0,0,0,3,0,120,38,2,0,37,2,0,37,2,0,137,0
2022/08/05/10:49:05.069863,1,0,1,3,0,0,0,0,3,0,120,40,2,0,40,2,0,40,2,0,137,0
2022/08/05/10:49:05.184373,1,0,1,3,0,0,0,0,3,0,120,43,2,0,43,2,0,43,2,0,137,0
2022/08/05/10:49:05.291840,1,0,1,3,0,0,0,0,3,0,120,46,2,0,46,2,0,46,2,0,137,0
2022/08/05/10:49:05.404395,1,0,1,3,0,0,0,0,3,0,120,49,2,0,49,2,0,49,2,0,137,0
2022/08/05/10:49:05.520587,1,0,1,3,0,0,0,0,3,0,120,52,2,0,51,2,0,51,2,0,137,0
2022/08/05/10:49:05.631077,1,0,1,3,0,0,0,0,3,0,120,54,2,0,54,2,0,54,2,0,137,0
2022/08/05/10:49:05.742187,1,0,1,3,0,0,0,0,3,0,120,57,2,0,57,2,0,57,2,0,137,0
2022/08/05/10:49:05.853935,1,0,1,3,0,0,0,0,3,0,120,60,2,0,60,2,0,60,2,0,137,0
2022/08/05/10:49:05.962368,1,0,1,3,0,0,0,0,3,0,120,63,2,0,63,2,0,63,2,0,137,0
2022/08/05/10:49:06.070464,1,0,1,3,0,0,0,0,3,0,120,65,2,0,65,2,0,65,2,0,137,0
2022/08/05/10:49:06.186956,1,0,1,3,0,0,0,0,3,0,120,68,2,0,68,2,0,68,2,0,137,0
2022/08/05/10:49:06.301822,1,0,1,3,0,0,0,0,3,0,120,71,2,0,71,2,0,71,2,0,137,0
2022/08/05/10:49:06.414084,1,0,1,3,0,0,0,0,3,0,120,74,2,0,74,2,0,74,2,0,137,0
2022/08/05/10:49:06.528397,1,0,1,3,0,0,0,0,3,0,120,77,2,0,77,2,0,77,2,0,137,0
2022/08/05/10:49:06.639024,1,0,1,3,0,0,0,0,3,0,120,80,2,0,80,2,0,80,2,0,137,0
2022/08/05/10:49:06.754069,1,0,1,3,0,0,0,0,3,0,120,83,2,0,83,2,0,83,2,0,137,0
2022/08/05/10:49:06.865572,1,0,1,3,0,0,0,0,3,0,120,85,2,0,85,2,0,85,2,0,137,0
2022/08/05/10:49:06.984948,1,0,1,3,0,0,0,0,3,0,120,88,2,0,88,2,0,88,2,0,137,0
2022/08/05/10:49:07.097304,1,0,1,3,0,0,0,0,3,0,120,91,2,0,91,2,0,91,2,0,137,0
2022/08/05/10:49:07.217788,1,0,1,3,0,0,0,0,3,0,120,94,2,0,94,2,0,94,2,0,137,0
2022/08/05/10:49:07.330860,1,0,1,3,0,0,0,0,3,0,120,97,2,0,97,2,0,97,2,0,137,0
2022/08/05/10:49:07.445794,1,0,1,3,0,0,0,0,3,0,120,100,2,0,100,2,0,100,2,0,137,0
2022/08/05/10:49:07.559309,1,0,1,3,0,0,0,0,3,0,120,103,2,0,103,2,0,103,2,0,137,0
2022/08/05/10:49:07.671044,1,0,1,3,0,0,0,0,3,0,120,105,2,0,105,2,0,105,2,0,137,0
2022/08/05/10:49:07.780601,1,0,1,3,0,0,0,0,3,0,120,108,2,0,108,2,0,108,2,0,137,0
2022/08/05/10:49:07.892922,1,0,1,3,0,0,0,0,3,0,120,111,2,0,111,2,0,111,2,0,137,0
2022/08/05/10:49:08.010861,1,0,1,3,0,0,0,0,3,0,120,114,2,0,114,2,0,114,2,0,137,0
2022/08/05/10:49:08.120461,1,0,1,3,0,0,0,0,3,0,120,117,2,0,117,2,0,117,2,0,137,0
2022/08/05/10:49:08.234245,1,0,1,3,0,0,0,0,3,0,120,120,2,0,120,2,0,120,2,0,137,0
2022/08/05/10:49:08.356454,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:08.463974,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:08.576902,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:08.689752,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:08.802515,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:08.914508,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:09.020278,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:09.131751,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:09.255336,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:09.370344,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
2022/08/05/10:49:09.487120,1,0,1,3,3,3,3,3,3,0,120,120,0,0,120,0,0,120,0,0,137,0
