time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/08/05/09:39:02.161386,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:02.271932,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:02.387759,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:02.496950,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:02.605396,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:02.714772,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:02.824229,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:02.933868,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.048624,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.166275,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.278021,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.399628,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.507700,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.616896,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.728727,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.844684,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:03.968383,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:04.081118,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:04.222036,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:04.339777,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:04.448276,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:04.561631,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:04.673610,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:04.793698,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:04.914714,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.030404,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.144382,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.256090,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.366326,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.494031,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.606696,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.719660,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.841784,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:05.961069,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:06.082242,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:06.215884,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:06.336924,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:06.477382,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:06.589131,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:06.725583,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:06.848020,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:06.960167,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:07.072272,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:07.199972,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:07.321847,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:07.439915,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:07.557515,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:07.705570,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:07.828609,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:07.960512,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:08.092080,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:08.210974,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:08.322120,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:08.434198,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:08.546820,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:08.660489,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:08.773608,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:08.887557,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.001173,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.117764,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.250957,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.364863,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.472756,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.593653,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.711078,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.825677,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:09.936378,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.047816,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.166647,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.274285,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.392839,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.506993,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.632701,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.758195,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.878753,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:10.997445,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:11.124841,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:11.252008,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:11.368490,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:11.479380,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:11.591927,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:39:11.703224,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
