time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/08/15:27:18.137141,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:18.245547,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:18.352055,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:18.459923,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:18.567029,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:18.673524,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:18.779611,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:18.887622,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:18.994962,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.102039,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.209974,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.316642,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.424697,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.535522,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.641917,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.749859,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.857892,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:19.965482,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:20.072037,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:20.180159,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:20.289047,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:20.396035,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:20.503596,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:20.609963,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/15:27:20.715612,1,0,1,3,0,0,0,0,3,0,120,6,4,0,6,4,0,6,4,0,137,0
2022/09/08/15:27:20.821388,1,0,1,3,0,0,0,0,3,0,120,14,4,0,14,4,0,14,4,0,137,0
2022/09/08/15:27:20.929053,1,0,1,3,0,0,0,0,3,0,120,23,4,0,23,4,0,23,4,0,137,0
2022/09/08/15:27:21.035996,1,0,1,3,0,0,0,0,3,0,120,32,4,0,32,5,0,32,4,0,137,0
2022/09/08/15:27:21.143438,1,0,1,3,0,0,0,0,3,0,120,41,4,0,41,4,0,41,5,0,137,0
