time,.data
2022/09/12/11:10:50.563195,5.532393694474917e-26
2022/09/12/11:10:50.772146,5.532393694474917e-26
2022/09/12/11:10:50.981750,5.532393694474917e-26
2022/09/12/11:10:51.190115,5.532393694474917e-26
2022/09/12/11:10:51.400726,5.532393694474917e-26
2022/09/12/11:10:51.609055,5.532393694474917e-26
2022/09/12/11:10:51.816194,5.532393694474917e-26
2022/09/12/11:10:52.041878,5.532393694474917e-26
2022/09/12/11:10:52.251431,5.532393694474917e-26
2022/09/12/11:10:52.459728,5.532393694474917e-26
2022/09/12/11:10:52.673371,5.532393694474917e-26
2022/09/12/11:10:52.880921,5.532393694474917e-26
2022/09/12/11:10:53.090676,5.532393694474917e-26
2022/09/12/11:10:53.300434,5.532393694474917e-26
2022/09/12/11:10:53.509223,5.532393694474917e-26
2022/09/12/11:10:53.719860,5.532393694474917e-26
2022/09/12/11:10:53.926958,5.532393694474917e-26
2022/09/12/11:10:54.137156,5.532393694474917e-26
2022/09/12/11:10:54.345055,5.532393694474917e-26
2022/09/12/11:10:54.569130,5.532393694474917e-26
2022/09/12/11:10:54.779951,5.532393694474917e-26
2022/09/12/11:10:54.988026,5.532393694474917e-26
2022/09/12/11:10:55.201418,5.532393694474917e-26
2022/09/12/11:10:55.408545,5.532393694474917e-26
2022/09/12/11:10:55.618462,5.532393694474917e-26
2022/09/12/11:10:55.825871,5.532393694474917e-26
2022/09/12/11:10:56.034541,5.532393694474917e-26
2022/09/12/11:10:56.245091,5.532393694474917e-26
2022/09/12/11:10:56.456236,5.532393694474917e-26
2022/09/12/11:10:56.662725,5.532393694474917e-26
2022/09/12/11:10:56.871324,5.532393694474917e-26
2022/09/12/11:10:57.095394,5.532393694474917e-26
2022/09/12/11:10:57.304157,5.532393694474917e-26
2022/09/12/11:10:57.518874,5.532393694474917e-26
2022/09/12/11:10:57.726102,7.004979451476028e-26
2022/09/12/11:10:57.935098,5.532393694474917e-26
2022/09/12/11:10:58.144533,5.532393694474917e-26
2022/09/12/11:10:58.353102,5.532393694474917e-26
2022/09/12/11:10:58.563248,5.532393694474917e-26
2022/09/12/11:10:58.771936,7.898600101470947
2022/09/12/11:10:58.977161,12.14969253540039
2022/09/12/11:10:59.187563,6.7682061195373535
2022/09/12/11:10:59.393249,22.547760009765625
2022/09/12/11:10:59.615197,26.100839614868164
2022/09/12/11:10:59.825155,22.547760009765625
2022/09/12/11:11:00.031843,19.390581130981445
2022/09/12/11:11:00.237604,22.449575424194336
