time,.rACT,.rMOD,.rGTO,.rATR,.rGLV,.rICF,.rICS,.rPRA,.rSPA,.rFRA,.rPRB,.rSPB,.rFRB,.rPRC,.rSPC,.rFRC,.rPRS,.rSPS,.rFRS
2022/08/05/09:42:07.813989,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:14.354143,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:19.027616,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:25.049110,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:29.184634,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:34.342233,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:37.697973,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:42.521081,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:45.942424,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:42:50.391425,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
