time,.rACT,.rMOD,.rGTO,.rATR,.rGLV,.rICF,.rICS,.rPRA,.rSPA,.rFRA,.rPRB,.rSPB,.rFRB,.rPRC,.rSPC,.rFRC,.rPRS,.rSPS,.rFRS
2022/08/05/11:01:13.164980,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:19.290445,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:24.332462,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:29.353594,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:33.840483,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:39.882058,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:43.788797,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:48.671757,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:52.378215,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/11:01:57.558830,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
