time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/08/05/09:35:55.407721,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:55.520211,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:55.634188,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:55.745541,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:55.861586,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:55.981308,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:56.091546,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:56.204814,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:56.324935,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:56.434980,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:56.546822,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:56.659376,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:56.785101,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:56.910915,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:57.022092,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:57.150499,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:57.264740,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:57.378582,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:57.492158,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:57.609186,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:57.722107,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:57.877728,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
2022/08/05/09:35:58.030809,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,7,0,0,137,0
