time,.rACT,.rMOD,.rGTO,.rATR,.rGLV,.rICF,.rICS,.rPRA,.rSPA,.rFRA,.rPRB,.rSPB,.rFRB,.rPRC,.rSPC,.rFRC,.rPRS,.rSPS,.rFRS
2022/08/05/09:36:02.972725,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:08.397936,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:14.196578,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:18.584883,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:23.841934,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:28.450494,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:34.031799,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:38.349594,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:43.983440,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:36:48.505042,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
