time,.rACT,.rMOD,.rGTO,.rATR,.rGLV,.rICF,.rICS,.rPRA,.rSPA,.rFRA,.rPRB,.rSPB,.rFRB,.rPRC,.rSPC,.rFRC,.rPRS,.rSPS,.rFRS
2022/08/05/10:49:03.624246,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:09.582868,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:16.454449,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:22.175923,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:28.170559,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:34.141859,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:38.103437,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:40.675463,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:45.923597,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:51.989458,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/10:49:57.253207,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
